Column,Null_Count_Before,Null_Pct_Before,Null_Count_After,Null_Pct_After,Status
Rndrng_NPI,0,0.0,0,0.0,Clean
Rndrng_Prvdr_Last_Org_Name,0,0.0,0,0.0,Clean
Rndrng_Prvdr_First_Name,474867,4.8547,475012,4.8561,Increased - placeholders converted
Rndrng_Prvdr_MI,3465045,35.4238,0,0.0,Dropped
Rndrng_Prvdr_Crdntls,1079707,11.0381,1079707,11.0381,Unchanged
Rndrng_Prvdr_Ent_Cd,0,0.0,0,0.0,Clean
Rndrng_Prvdr_St1,0,0.0,0,0.0,Dropped
Rndrng_Prvdr_St2,7637996,78.0848,0,0.0,Dropped
Rndrng_Prvdr_City,0,0.0,0,0.0,Clean
Rndrng_Prvdr_State_Abrvtn,0,0.0,0,0.0,Clean
Rndrng_Prvdr_State_FIPS,5,0.0001,0,0.0,Dropped
Rndrng_Prvdr_Zip5,1,0.0,0,0.0,Dropped
Rndrng_Prvdr_RUCA,5291,0.0541,0,0.0,Clean
Rndrng_Prvdr_RUCA_Desc,5291,0.0541,0,0.0,Dropped
Rndrng_Prvdr_Cntry,0,0.0,0,0.0,Clean
Rndrng_Prvdr_Type,0,0.0,0,0.0,Clean
Rndrng_Prvdr_Mdcr_Prtcptg_Ind,0,0.0,0,0.0,Clean
HCPCS_Cd,0,0.0,0,0.0,Clean
HCPCS_Desc,0,0.0,0,0.0,Clean
HCPCS_Drug_Ind,0,0.0,0,0.0,Clean
Place_Of_Srvc,0,0.0,0,0.0,Clean
Tot_Benes,0,0.0,0,0.0,Clean
Tot_Srvcs,0,0.0,0,0.0,Clean
Tot_Bene_Day_Srvcs,0,0.0,0,0.0,Clean
Avg_Sbmtd_Chrg,0,0.0,0,0.0,Clean
Avg_Mdcr_Alowd_Amt,0,0.0,0,0.0,Clean
Avg_Mdcr_Pymt_Amt,0,0.0,0,0.0,Clean
Avg_Mdcr_Stdzd_Amt,0,0.0,0,0.0,Clean
