Rndrng_Prvdr_Type,mean,count,denial_rate_pct
Rheumatology,0.23631886172929586,65784,23.631886172929587
Emergency Medicine,0.2371985667703041,210992,23.71985667703041
Cardiology,0.24334561968467067,382267,24.334561968467067
Pain Management,0.24584911156422953,44629,24.584911156422955
Hematopoietic Cell Transplantation and Cellular Therapy,0.246078431372549,1020,24.6078431372549
Interventional Pain Management,0.2586764304911775,25673,25.86764304911775
Peripheral Vascular Disease,0.25925925925925924,999,25.925925925925924
Allergy/ Immunology,0.2645382423168759,25966,26.45382423168759
Independent Diagnostic Testing Facility (IDTF),0.2768543004659363,31764,27.68543004659363
Nuclear Medicine,0.2975164071548063,7771,29.751640715480633
Hematology-Oncology,0.3239427485619046,154197,32.39427485619046
Medical Oncology,0.32652857199984003,50014,32.652857199984005
Pathology,0.348955849111383,144663,34.8955849111383
Adult Congenital Heart Disease,0.3603448275862069,580,36.03448275862069
Clinical Laboratory,0.38466072832067066,106876,38.46607283206707
Certified Registered Nurse Anesthetist (CRNA),0.39064160725858715,115725,39.06416072585871
Interventional Radiology,0.4174043761483214,59870,41.74043761483214
Diagnostic Radiology,0.44938260582305833,1120030,44.93826058230583
Anesthesiology,0.4576467641410743,203609,45.76467641410743
Anesthesiology Assistant,0.6227821149751597,5636,62.27821149751597
